date,Negative,Neutral,Positive,neg_share_delta,pos_share_delta
2026-08-20 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
2026-08-21 00:00:00+00:00,0.0,1.0,0.0,-0.3333333333333333,-0.3333333333333333
2026-08-22 00:00:00+00:00,0.4,0.4,0.2,0.4,0.2
2026-08-23 00:00:00+00:00,0.2857142857142857,0.42857142857142855,0.2857142857142857,-0.11428571428571432,0.08571428571428569
2026-08-24 00:00:00+00:00,0.25,0.5,0.25,-0.0357142857142857,-0.0357142857142857
2026-08-25 00:00:00+00:00,0.2222222222222222,0.3888888888888889,0.3888888888888889,-0.02777777777777779,0.1388888888888889
2026-08-26 00:00:00+00:00,0.0,0.23809523809523808,0.7619047619047619,-0.2222222222222222,0.37301587301587297
2026-08-27 00:00:00+00:00,0.13636363636363635,0.4090909090909091,0.45454545454545453,0.13636363636363635,-0.30735930735930733
2026-08-28 00:00:00+00:00,0.05555555555555555,0.3333333333333333,0.6111111111111112,-0.0808080808080808,0.15656565656565663
2026-08-29 00:00:00+00:00,0.16666666666666666,0.3888888888888889,0.4444444444444444,0.1111111111111111,-0.16666666666666674
2026-08-30 00:00:00+00:00,0.08695652173913043,0.30434782608695654,0.6086956521739131,-0.07971014492753623,0.16425120772946866
2026-08-31 00:00:00+00:00,0.17647058823529413,0.23529411764705882,0.5882352941176471,0.0895140664961637,-0.020460358056266004
2026-09-01 00:00:00+00:00,0.13333333333333333,0.2,0.6666666666666666,-0.0431372549019608,0.07843137254901955
2026-09-02 00:00:00+00:00,0.0,0.2631578947368421,0.7368421052631579,-0.13333333333333333,0.07017543859649122
2026-09-03 00:00:00+00:00,0.125,0.125,0.75,0.125,0.013157894736842146
2026-09-04 00:00:00+00:00,0.058823529411764705,0.4117647058823529,0.5294117647058824,-0.0661764705882353,-0.22058823529411764
2026-09-05 00:00:00+00:00,0.452991452991453,0.3333333333333333,0.21367521367521367,0.3941679235796883,-0.31573655103066867
2026-09-06 00:00:00+00:00,0.42592592592592593,0.3888888888888889,0.18518518518518517,-0.027065527065527062,-0.02849002849002849
2026-09-07 00:00:00+00:00,0.3076923076923077,0.3076923076923077,0.38461538461538464,-0.11823361823361822,0.19943019943019946
2026-09-08 00:00:00+00:00,0.18518518518518517,0.4074074074074074,0.4074074074074074,-0.12250712250712253,0.022792022792022748
2026-09-09 00:00:00+00:00,0.12,0.6,0.28,-0.06518518518518518,-0.12740740740740736
2026-09-10 00:00:00+00:00,0.2857142857142857,0.19047619047619047,0.5238095238095238,0.1657142857142857,0.2438095238095238
2026-09-11 00:00:00+00:00,0.09523809523809523,0.2857142857142857,0.6190476190476191,-0.19047619047619047,0.09523809523809523
2026-09-12 00:00:00+00:00,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.12698412698412698,-0.17460317460317465
2026-09-13 00:00:00+00:00,0.43137254901960786,0.39215686274509803,0.17647058823529413,0.20915032679738566,-0.26797385620915026
2026-09-14 00:00:00+00:00,0.40253164556962023,0.40759493670886077,0.189873417721519,-0.02884090344998763,0.013402829486224871
2026-09-15 00:00:00+00:00,0.445859872611465,0.36942675159235666,0.18471337579617833,0.04332822704184475,-0.005160041925340669
2026-09-16 00:00:00+00:00,0.34065934065934067,0.43956043956043955,0.21978021978021978,-0.10520053195212431,0.035066843984041446
2026-09-17 00:00:00+00:00,0.46551724137931033,0.25862068965517243,0.27586206896551724,0.12485790071996966,0.05608184918529746
2026-09-18 00:00:00+00:00,0.21818181818181817,0.32727272727272727,0.45454545454545453,-0.24733542319749216,0.1786833855799373
2026-09-19 00:00:00+00:00,0.3125,0.3625,0.325,0.09431818181818183,-0.12954545454545452
2026-09-20 00:00:00+00:00,0.152,0.464,0.384,-0.1605,0.059
2026-09-21 00:00:00+00:00,0.25,0.4780701754385965,0.2719298245614035,0.098,-0.11207017543859649
2026-09-22 00:00:00+00:00,0.16666666666666666,0.2777777777777778,0.5555555555555556,-0.08333333333333334,0.28362573099415206
